Name;Domain;Description;CAPEC ID;Similarity;summary_th_df;summary_th_df;summary_ca_df
T-SMO-29;enterprise-attack;External attacker floods External interface to cause DDoS at SMO;CAPEC-482;0.5764487;A Threat with the title External attacker floods External interface to cause DDoS at SMO and the descriptionIf the External interface is not protected, an external attacker can flood an External interface to overload the SMO.  This can prevent legitimate messages and data from reaching the SMO or cause heavy processing at the SMO, resulting in performance degradation or outage of the SMO.;A Threat with the title External attacker floods External interface to cause DDoS at SMO and the descriptionIf the External interface is not protected, an external attacker can flood an External interface to overload the SMO.  This can prevent legitimate messages and data from reaching the SMO or cause heavy processing at the SMO, resulting in performance degradation or outage of the SMO.;A CAPEC with the title TCP Flood. The description of this CAPEC is:An adversary may execute a flooding attack using the TCP protocol with the intent to deny legitimate users access to a service. These attacks exploit the weakness within the TCP protocol where there is some state information for the connection the server needs to maintain. This often involves the use of TCP SYN messages.. The Domains of this are: Communications, Software
T-RADIO-01;enterprise-attack;Disruption through radio jamming, sniffing and spoofing;CAPEC-605;0.65391874;"A Threat with the title Disruption through radio jamming, sniffing and spoofing and the descriptionLike for any wireless technology, disruption through radio jamming is possible by analyzing the physical downlink and uplink control channels and signals. 5G radio network is vulnerable to:
• Jamming Vulnerability of Reference Signals
• Jamming Vulnerability of Synchronization Signal
• Jamming Vulnerability of the PBCH
• Sniffing and Spoofing Vulnerability of the PBCH
• Jamming Vulnerability of PDCCH
• Jamming Vulnerability of Physical Uplink Control Channel
• Jamming Vulnerability of Physical Random-Access Channel
NOTE 1: The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.
NOTE 2: In the scenario of RF spoofing, the UE needs to be able to validate the legitimacy of the O-RU as being one owned and operated by the operator. 3GPP has proposed in a study to use Digital Signatures to mitigate this threat but there has been no agreement on this to date. The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.";"A Threat with the title Disruption through radio jamming, sniffing and spoofing and the descriptionLike for any wireless technology, disruption through radio jamming is possible by analyzing the physical downlink and uplink control channels and signals. 5G radio network is vulnerable to:
• Jamming Vulnerability of Reference Signals
• Jamming Vulnerability of Synchronization Signal
• Jamming Vulnerability of the PBCH
• Sniffing and Spoofing Vulnerability of the PBCH
• Jamming Vulnerability of PDCCH
• Jamming Vulnerability of Physical Uplink Control Channel
• Jamming Vulnerability of Physical Random-Access Channel
NOTE 1: The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.
NOTE 2: In the scenario of RF spoofing, the UE needs to be able to validate the legitimacy of the O-RU as being one owned and operated by the operator. 3GPP has proposed in a study to use Digital Signatures to mitigate this threat but there has been no agreement on this to date. The O-RAN OEMs need to develop new intelligence that can proactively alert the operator when this attack is initiated so that the operator can take appropriate actions to mitigate.";A CAPEC with the title Cellular Jamming. The description of this CAPEC is:In this attack scenario, the attacker actively transmits signals to overpower and disrupt the communication between a cellular user device and a cell tower. Several existing techniques are known in the open literature for this attack for 2G, 3G, and 4G LTE cellular technology. For example, some attacks target cell towers by overwhelming them with false status messages, while others introduce high levels of noise on signaling channels.. The Domain of this is: Communications
T-O-RAN-07;enterprise-attack;An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability;CAPEC-93;0.63824373;A Threat with the title An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability and the descriptionImproper / missing controls for protection of security event log files generated by O-RAN components and the lack of security events logged together with a unique system reference (e.g. host name, IP or MAC address) and the exact time the incident occurred do not allow a correct and rapid audit in case of security incident occurrence. Security restoration is delayed. Compromise of availability and integrity of security event log files could conduct to delays, wrong audit results, delays in security restoration, threats persistence.;A Threat with the title An attacker compromises O-RAN monitoring mechanisms and log files integrity and availability and the descriptionImproper / missing controls for protection of security event log files generated by O-RAN components and the lack of security events logged together with a unique system reference (e.g. host name, IP or MAC address) and the exact time the incident occurred do not allow a correct and rapid audit in case of security incident occurrence. Security restoration is delayed. Compromise of availability and integrity of security event log files could conduct to delays, wrong audit results, delays in security restoration, threats persistence.;A CAPEC with the title Log Injection-Tampering-Forging. The description of this CAPEC is:This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.. The Domain of this is: Software
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-93;0.56130475;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A CAPEC with the title Log Injection-Tampering-Forging. The description of this CAPEC is:This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.. The Domain of this is: Software
T-SMO-13;enterprise-attack;Malicious actor views local logs;CAPEC-93;0.6047346;A Threat with the title Malicious actor views local logs and the descriptionMalicious actor accesses locally stored logs in the SMO to perform reconnaissance to collect sensitive or private information.;A Threat with the title Malicious actor views local logs and the descriptionMalicious actor accesses locally stored logs in the SMO to perform reconnaissance to collect sensitive or private information.;A CAPEC with the title Log Injection-Tampering-Forging. The description of this CAPEC is:This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.. The Domain of this is: Software
T-SMO-14;enterprise-attack;Malicious actor modifies local log entries;CAPEC-93;0.55037135;A Threat with the title Malicious actor modifies local log entries and the descriptionMalicious actor accesses locally stored logs in the SMO to modify entries to hide presence or cause confusion.;A Threat with the title Malicious actor modifies local log entries and the descriptionMalicious actor accesses locally stored logs in the SMO to modify entries to hide presence or cause confusion.;A CAPEC with the title Log Injection-Tampering-Forging. The description of this CAPEC is:This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.. The Domain of this is: Software
T-SMO-15;enterprise-attack;Malicious actor deletes local logs;CAPEC-93;0.5519789;A Threat with the title Malicious actor deletes local logs and the descriptionMalicious actor accesses locally stored logs in the SMO to delete entries to hide presence or cause confusion.;A Threat with the title Malicious actor deletes local logs and the descriptionMalicious actor accesses locally stored logs in the SMO to delete entries to hide presence or cause confusion.;A CAPEC with the title Log Injection-Tampering-Forging. The description of this CAPEC is:This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.. The Domain of this is: Software
T-SMO-16;enterprise-attack;Malicious actor intercepts exports of local logs;CAPEC-93;0.57315624;A Threat with the title Malicious actor intercepts exports of local logs and the descriptionMalicious actor gains access to an external interface to intercept data in transit as logs are transferred from the SMO to a remote server/external entity.;A Threat with the title Malicious actor intercepts exports of local logs and the descriptionMalicious actor gains access to an external interface to intercept data in transit as logs are transferred from the SMO to a remote server/external entity.;A CAPEC with the title Log Injection-Tampering-Forging. The description of this CAPEC is:This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.. The Domain of this is: Software
T-SMO-17;enterprise-attack;Malicious external actor gains unauthorized access to logs;CAPEC-93;0.57568353;A Threat with the title Malicious external actor gains unauthorized access to logs and the descriptionMalicious external actor gains unauthorized access to stored logs to view, modify, and delete;A Threat with the title Malicious external actor gains unauthorized access to logs and the descriptionMalicious external actor gains unauthorized access to stored logs to view, modify, and delete;A CAPEC with the title Log Injection-Tampering-Forging. The description of this CAPEC is:This attack targets the log files of the target host. The attacker injects, manipulates or forges malicious log entries in the log file, allowing them to mislead a log audit, cover traces of attack, or perform other malicious actions. The target host is not properly controlling log access. As a result tainted data is resulting in the log files leading to a failure in accountability, non-repudiation and incident forensics capability.. The Domain of this is: Software
T-SPLANE-05;enterprise-attack;Packet delay manipulation attack;CAPEC-621;0.5848937;"A Threat with the title Packet delay manipulation attack and the descriptionIEEE 1588 requires symmetric delays between GM and slaves. In packet delay manipulation attacks, the attacker is positioned such a way that allows him to delay the transmission of legitimate time synchronization protocol packets to the indended destination.
An attacker launches this attack by either tapping the transmission network or by taking control of an intermediate nodes such as routers, switches and T-TCs.
This attack results in a situation where the time protocol is operational, but slaves are being provided intentionally inaccurate timing information.
This degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.
A cell outage caused by misaligned time, may further impact performance in connected neighboring cells.";"A Threat with the title Packet delay manipulation attack and the descriptionIEEE 1588 requires symmetric delays between GM and slaves. In packet delay manipulation attacks, the attacker is positioned such a way that allows him to delay the transmission of legitimate time synchronization protocol packets to the indended destination.
An attacker launches this attack by either tapping the transmission network or by taking control of an intermediate nodes such as routers, switches and T-TCs.
This attack results in a situation where the time protocol is operational, but slaves are being provided intentionally inaccurate timing information.
This degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.
A cell outage caused by misaligned time, may further impact performance in connected neighboring cells.";A CAPEC with the title Analysis of Packet Timing and Sizes. The description of this CAPEC is:An attacker may intercept and log encrypted transmissions for the purpose of analyzing metadata such as packet timing and sizes. Although the actual data may be encrypted, this metadata may reveal valuable information to an attacker. Note that this attack is applicable to VOIP data as well as application data, especially for interactive apps that require precise timing and low-latency (e.g. thin-clients).. The Domains of this are: Software, Physical Security, Hardware
T-OPENSRC-02;enterprise-attack;A trusted developer intentionally inserts a backdoor into an open source code O-RAN component;CAPEC-672;0.56372195;"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";"A Threat with the title A trusted developer intentionally inserts a backdoor into an open source code O-RAN component and the descriptionA trusted developer intentionally inserts a backdoor by injecting a few lines of malicious code into an open source code component to be used within the O-RAN system. A software project team picks up and uses the infected open source code and the development team’s tools for vetting and testing the component do not detect the malicious code. Unknowingly they have introduced a vulnerability into their O-RAN software code.
The vulnerability has gone undetected and the threat actor is able to compromise the software through the inserted vulnerability. The resulting effect on the O-RAN system can take a variety of forms, from being annoying to impacting system performance (DoS) to the loss of sensitive data.";"A CAPEC with the title Malicious Code Implanted During Chip Programming. The description of this CAPEC is:
            <xhtml:p>During the programming step of chip manufacture, an adversary with access and necessary technical skills maliciously alters a chip’s intended program logic to produce an effect intended by the adversary when the fully manufactured chip is deployed and in operational use. Intended effects can include the ability of the adversary to remotely control a host system to carry out malicious acts.</xhtml:p>
         . The Domains of this are: Supply Chain, Software, Hardware"
T-R1-05;enterprise-attack;A malicious actor gains unauthorized access to data;CAPEC-272;0.5511375;A Threat with the title A malicious actor gains unauthorized access to data and the descriptionAn attacker can perform a spoofing attack to exploit the Data request and subscription service for the purpose to gain unauthorized access to data.;A Threat with the title A malicious actor gains unauthorized access to data and the descriptionAn attacker can perform a spoofing attack to exploit the Data request and subscription service for the purpose to gain unauthorized access to data.;A CAPEC with the title Protocol Manipulation. The description of this CAPEC is:An adversary subverts a communications protocol to perform an attack. This type of attack can allow an adversary to impersonate others, discover sensitive information, control the outcome of a session, or perform other attacks. This type of attack targets invalid assumptions that may be inherent in implementers of the protocol, incorrect implementations of the protocol, or vulnerabilities in the protocol itself.. The Domains of this are: Communications, Software
T-A1-02;enterprise-attack;Malicious function or application monitors messaging across A1 interface;CAPEC-272;0.55219334;A Threat with the title Malicious function or application monitors messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to read policy.;A Threat with the title Malicious function or application monitors messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to read policy.;A CAPEC with the title Protocol Manipulation. The description of this CAPEC is:An adversary subverts a communications protocol to perform an attack. This type of attack can allow an adversary to impersonate others, discover sensitive information, control the outcome of a session, or perform other attacks. This type of attack targets invalid assumptions that may be inherent in implementers of the protocol, incorrect implementations of the protocol, or vulnerabilities in the protocol itself.. The Domains of this are: Communications, Software
T-A1-03;enterprise-attack;Malicious function or application modifies messaging across A1 interface;CAPEC-272;0.5512365;A Threat with the title Malicious function or application modifies messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to modify or inject policy.  This can result in the Near-RT RIC receiving malicious policy.;A Threat with the title Malicious function or application modifies messaging across A1 interface and the descriptionInternal threat actor can gain access to the messaging across the A1 interface for a MiTM attack to modify or inject policy.  This can result in the Near-RT RIC receiving malicious policy.;A CAPEC with the title Protocol Manipulation. The description of this CAPEC is:An adversary subverts a communications protocol to perform an attack. This type of attack can allow an adversary to impersonate others, discover sensitive information, control the outcome of a session, or perform other attacks. This type of attack targets invalid assumptions that may be inherent in implementers of the protocol, incorrect implementations of the protocol, or vulnerabilities in the protocol itself.. The Domains of this are: Communications, Software
T-rAPP-06;enterprise-attack;An attacker bypasses authentication and authorization using an injection attack;CAPEC-90;0.5597125;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A Threat with the title An attacker bypasses authentication and authorization using an injection attack and the descriptionIt is possible that an attacker to submit requests without prior authentication and authorization by executing an injection attack to manipulate configurations, access logs, perform remote code execution, etc.;A CAPEC with the title Reflection Attack in Authentication Protocol. The description of this CAPEC is:An adversary can abuse an authentication protocol susceptible to reflection attack in order to defeat it. Doing so allows the adversary illegitimate access to the target system, without possessing the requisite credentials. Reflection attacks are of great concern to authentication protocols that rely on a challenge-handshake or similar mechanism. An adversary can impersonate a legitimate user and can gain illegitimate access to the system by successfully mounting a reflection attack during authentication.. The Domain of this is: Communications
